quran_text,ur_meaning,en_meaning
مِنْهَاۚ,اس میں سے,thereof
وَمَنْ,اور جو کوئی,and whoever
یُّرِدْ,ارادہ کرے گا,desires
ثَوَابَ,ثواب کا,reward
الْاٰخِرَةِ,آخرت کے,(of) the Hereafter
نُؤْتِهٖ,ہم دیں گے اس کو,We will give him
مِنْهَاؕ,اس میں سے,thereof
وَسَنَجْزِی,اور عنقریب ہم جزا دیں گے,And We will reward
الشّٰكِرِیْنَ,شکر کرنے والوں کو,the grateful ones
وَكَاَیِّنْ,اور کتنے ہی,And how many
مِّنْ,سے,from
نَّبِیٍّ,نبیوں میں سے  کوئی نبی ہے,a Prophet
قٰتَلَ,جنگ کی ۔ لڑے اس کے ساتھ۔,fought
مَعَهٗ,اس کی معیت میں,with him
رِبِّیُّوْنَ,اللہ والوں نے۔ اللہ والے,(were) religious scholars
كَثِیْرٌۚ,بہت سے,many
فَمَا,تو نہ,But not
وَهَنُوْا,انہوں نے سستی دکھائی,they lost heart
لِمَاۤ,واسطے اس کے,for what
اَصَابَهُمْ,جو پہنچا ان کو,befell them
فِیْ,میں,in
سَبِیْلِ,راستے (میں),(the) way
اللّٰهِ,اللہ کے,(of) Allah
وَمَا,اور نہ,and not
ضَعُفُوْا,انہوں نے کمزوری دکھائی,they weakened
وَمَا,اور نہ,and not
اسْتَكَانُوْاؕ,وہ دبے,they gave in
وَاللّٰهُ,اور اللہ,And Allah
یُحِبُّ,محبت رکھتا ہے,loves
الصّٰبِرِیْنَ,صبر کرنے والوں سے,the patient ones
وَمَا,اور نہ,And not
كَانَ,تھا,were
قَوْلَهُمْ,ان کی بات,their words
اِلَّاۤ,مگر,except
اَنْ,یہ کہ,that
قَالُوْا,انہوں نے کہا,they said
رَبَّنَا,"اے رب ہمارے،",Our Lord
اغْفِرْ,بخش دے,forgive
لَنَا,واسطے ہمارے,for us
ذُنُوْبَنَا,ہمارے گناہ,our sins
وَاِسْرَافَنَا,اور ہماری زیادتیاں,and our excesses
فِیْۤ,میں,in
اَمْرِنَا,ہمارے معاملے (میں),our affairs
وَثَبِّتْ,اور جما دے,and make firm
اَقْدَامَنَا,ہمارے قدموں کو,our feet
وَانْصُرْنَا,اور مدد فرما ہماری,and give us victory
عَلَی,اوپر,over
الْقَوْمِ,قوم کے,[the people]
الْكٰفِرِیْنَ,کافر (کافر قوم کے مقابلے پر),the disbelievers
فَاٰتٰىهُمُ,تو عطا کیا ان کو,So gave them
اللّٰهُ,اللہ نے,Allah
ثَوَابَ,ثواب,reward
الدُّنْیَا,دنیا کا,(in) the world
وَحُسْنَ,اور اچھا ہے,and good
ثَوَابِ,ثواب,reward
الْاٰخِرَةِؕ,آخرت کا,(in) the Hereafter
وَاللّٰهُ,اور اللہ,And Allah
یُحِبُّ,محبت رکھتا ہے,loves
الْمُحْسِنِیْنَ,احسان کرنے والوں سے,the good-doers
یٰۤاَیُّهَا,اے,O you
الَّذِیْنَ,وہ لوگو,who
اٰمَنُوْۤا,جو ایمان لائے ہو,believe
اِنْ,اگر,If
تُطِیْعُوا,تم اطاعت کرو,you obey
الَّذِیْنَ,ان لوگوں کی,those who
كَفَرُوْا,جنہوں نے کفر کیا,disbelieve
یَرُدُّوْكُمْ,وہ پھیر دیں گے تم کو,they will turn you back
عَلٰۤی,اوپر,on
اَعْقَابِكُمْ,تمہاری ایڑیوں کے,your heels
فَتَنْقَلِبُوْا,تو لوٹ جاؤ گے تم۔ پلٹ جاؤ گے تم,then you will turn back
خٰسِرِیْنَ,خسارہ پانے والے ہوکر,(as) losers
بَلِ,بلکہ,Nay
اللّٰهُ,اللہ,Allah
مَوْلٰىكُمْۚ,مددگار ہے تمہارا,(is) your Protector
وَهُوَ,اور وہ,and He
خَیْرُ,بہترین,(is the) best
النّٰصِرِیْنَ,مدد کرنے والا ہے,(of) the Helpers
سَنُلْقِیْ,عنقریب ہم ڈال دیں گے,We will cast
فِیْ,میں,in
قُلُوْبِ,دلوں (میں),(the) hearts
الَّذِیْنَ,ان لوگوں کے,(of) those who
كَفَرُوا,جنہوں نے کفر کیا,disbelieve
الرُّعْبَ,رعب کو,[the] terror
بِمَاۤ,بوجہ اس کے جو,because
اَشْرَكُوْا,انہوں نے شرک کیا,they associated partners
بِاللّٰهِ,ساتھ اللہ کے,with Allah
مَا,جو,what
لَمْ,نہیں,not
یُنَزِّلْ,اس نے نازل کیا,He sent down
بِهٖ,ساتھ اس کے,about it
سُلْطٰنًاۚ,کوئی دلیل,any authority
وَمَاْوٰىهُمُ,اور ٹھکانہ ان کا,and their refuge
النَّارُؕ,آگ ہے,(will be) the Fire
وَبِئْسَ,اور کتنا برا ہے,and wretched
مَثْوَی,ٹھکانہ,(is the) abode
الظّٰلِمِیْنَ,ظالموں کا۔ ان کا جو ظالم ہیں,[of] the wrongdoers
وَلَقَدْ,اور البتہ تحقیق,And certainly
صَدَقَكُمُ,سچ کیا تم سے۔ سچ کہا تم سے,fulfilled to you
اللّٰهُ,اللہ نے,Allah
وَعْدَهٗۤ,اپنا وعدہ۔ اپنے وعدے کو,His promise
اِذْ,جب,when
تَحُسُّوْنَهُمْ,تم قتل کر رہے تھے ان کو,you were killing them
بِاِذْنِهٖۚ,اس کے اذن سے,by His permission
حَتّٰۤی,یہاں تک کہ,until
اِذَا,جب,when
فَشِلْتُمْ,بزدلی دکھائی تم نے۔ ہمت ہار دی تم نے,you lost courage
وَتَنَازَعْتُمْ,اور جھگڑا کیا تم نے,and you fell into dispute
فِی,میں,concerning
الْاَمْرِ,معاملے,the order
وَعَصَیْتُمْ,اور نافرمانی کی تم نے,and you disobeyed
مِّنْ,نا معلوم,from
بَعْدِ,بعد اس کے,after
مَاۤ,جو,[what]
اَرٰىكُمْ,اس نے دکھایا تم کو,He (had) shown you
مَّا,جو,what
تُحِبُّوْنَؕ,تم پسند کرتے تھے,you love
مِنْكُمْ,تم میں سے,Among you
مَّنْ,کوئی,(are some) who
یُّرِیْدُ,چاہتا ہے۔ تھا,desire
الدُّنْیَا,دنیا کو,the world
وَمِنْكُمْ,اور تم میں سے,and among you
مَّنْ,کوئی,(are some) who
یُّرِیْدُ,چاہتا ہے۔ تھا,desire
الْاٰخِرَةَۚ,آخرت کو,the Hereafter
ثُمَّ,پھر,Then
صَرَفَكُمْ,اس نے پھیر دیا تم کو,He diverted you
عَنْهُمْ,ان سے,from them
لِیَبْتَلِیَكُمْۚ,تاکہ وہ آزمائے تم کو,so that He may test you
وَلَقَدْ,اور البتہ تحقیق,And surely
عَفَا,اس نے معاف کردیا,He forgave
عَنْكُمْؕ,تم سے,you
وَاللّٰهُ,اور اللہ,And Allah
ذُوْ,والا,(is the) Possessor
فَضْلٍ,فضل( والا ہے ),(of) Bounty
عَلَی,پر,for
الْمُؤْمِنِیْنَ,مومنوں,the believers
اِذْ,جب,When
تُصْعِدُوْنَ,تم چڑھے جارہے تھے,you were running uphill
وَلَا,اور نہ,and not
تَلْوٗنَ,تم مڑ کر دیکھتے تھے۔ اور تم پیچھے پھر کر نہ دیکھتے تھے,casting a glance
عَلٰۤی,اوپر,on
اَحَدٍ,کسی ایک کے,anyone
وَّالرَّسُوْلُ,اور رسول,while the Messenger
یَدْعُوْكُمْ,بلا رہے تھے تم,was calling you
فِیْۤ,نا معلوم,[in]
اُخْرٰىكُمْ,تمہارے پیچھے سے,(from) behind you
فَاَثَابَكُمْ,تو اس نے دیا تم کو,So (He) repaid you
غَمًّا,غم,(with) distress
بِغَمٍّ,ساتھ غم کے,on distress
لِّكَیْلَا,تاکہ نہ,so that not
تَحْزَنُوْا,تم غم کرو,you grieve
عَلٰی,اوپر,over
مَا,اس کے جو,what
فَاتَكُمْ,فوت ہوگیا تم سے۔ چلا گیا تم سے,escaped you
وَلَا,اور نہ,and not
مَاۤ,جو,what
اَصَابَكُمْؕ,پہنچا تم کو,(had) befallen you
وَاللّٰهُ,اور اللہ,And Allah
خَبِیْرٌ,خبر رکھنے والا ہے,(is) All-Aware
بِمَا,ساتھ اس کے جو,of what
تَعْمَلُوْنَ,تم عمل کرتے ہو,you do
ثُمَّ,پھر,Then
اَنْزَلَ,اتارا اس نے,He sent down
عَلَیْكُمْ,تم پر,upon you
مِّنْ,نا معلوم,from
بَعْدِ,کے بعد,after
الْغَمِّ,غم,the distress
اَمَنَةً,امن والی۔ باعث سکون,security
نُّعَاسًا,ایک اونگھ کو,slumber
یَّغْشٰی,جس نے ڈھانپ لیا,overcoming
طَآىِٕفَةً,ایک گروہ کو,a group
مِّنْكُمْ,تم میں سے,of you
وَطَآىِٕفَةٌ,اور ایک گروہ,while a group
قَدْ,تحقیق,certainly
اَهَمَّتْهُمْ,فکر میں ڈالا ان کو,worried [them]
اَنْفُسُهُمْ,ان کے نفسوں نے,(about) themselves
یَظُنُّوْنَ,وہ گمان کر رہے تھے,thinking
بِاللّٰهِ,اللہ کے بارے میں,about Allah
غَیْرَ,نا,other than
الْحَقِّ,حق,the truth
ظَنَّ,جیسا کہ گمان کرنا ہوتا ہے,(the) thought
الْجَاهِلِیَّةِؕ,جاہلیت کا,(of) [the] ignorance
یَقُوْلُوْنَ,وہ کہہ رہے تھے,saying
هَلْ,کیا,Is (there)
لَّنَا,ہمارے لیے ہے,for us
مِنَ,سے,from
الْاَمْرِ,معاملے میں سے,the matter
مِنْ,سے,any
شَیْءٍؕ,کوئی چیز۔ کچھ بھی,thing
قُلْ,کہہ دیجیے,Say
اِنَّ,بیشک,Indeed
الْاَمْرَ,معاملہ,the matter
كُلَّهٗ,وہ سارے کا سارا,all (of) it
لِلّٰهِؕ,اللہ ہی کے لیے ہے,(is) for Allah
یُخْفُوْنَ,وہ چھپا رہے تھے,They hide
فِیْۤ,میں,in
اَنْفُسِهِمْ,اپنے نفسوں (میں),themselves
مَّا,جو,what
لَا,نہیں,not
یُبْدُوْنَ,وہ ظاہر کر رہے تھے,they reveal
لَكَؕ,تیرے لیے,to you
یَقُوْلُوْنَ,وہ کہہ رہے تھے,They say
لَوْ,اگر,If
كَانَ,ہوتا,was
لَنَا,ہمارے لیے,for us
مِنَ,سے,from
الْاَمْرِ,معاملے میں سے,the matter
شَیْءٌ,کچھ۔ کوئی چیز,anything
مَّا,نہ,not
قُتِلْنَا,ہم قتل کیے جاتے,we would have been killed
هٰهُنَاؕ,اس جگہ,here
قُلْ,کہہ دیجیے,Say
لَّوْ,اگر,If
كُنْتُمْ,ہوتے تم,you were
فِیْ,میں,in
بُیُوْتِكُمْ,اپنے گھروں (میں),your houses
لَبَرَزَ,البتہ نکل پڑتے,surely (would have) come out
الَّذِیْنَ,وہ لوگ,those who
كُتِبَ,لکھ دیا گیا۔ لکھا گیا,was decreed
عَلَیْهِمُ,جن پر,upon them
الْقَتْلُ,قتل ہونا,[the] death
اِلٰی,طرف,towards
مَضَاجِعِهِمْۚ,اپنی قتل گاہوں کے,their places of death
وَلِیَبْتَلِیَ,اور تاکہ آزمائے,And that might test
اللّٰهُ,اللہ اس کو,Allah
مَا,جو,what
فِیْ,میں,(is) in
صُدُوْرِكُمْ,تمہارے سینوں (میں) ہے,your breasts
وَلِیُمَحِّصَ,اور تاکہ چھانٹ دے,and that He may purge
مَا,جو,what
فِیْ,میں,(is) in
قُلُوْبِكُمْؕ,تمہارے دلوں میں ہے,your hearts
وَاللّٰهُ,اور اللہ,And Allah
عَلِیْمٌ,جاننے والا ہے,(is) All-Aware
بِذَاتِ,بھید,of what
الصُّدُوْرِ,سینوں کے,(is in) the breasts
اِنَّ,بیشک,Indeed
الَّذِیْنَ,وہ لوگ,those who
تَوَلَّوْا,جو منہ موڑ گئے,turned back
مِنْكُمْ,تم میں سے,among you
یَوْمَ,جس دن,(on the) day
الْتَقَی,آمنے سامنے ہوئیں۔ ملیں تھیں,met
الْجَمْعٰنِ,دو جماعتیں,the two hosts
اِنَّمَا,بیشک,only
اسْتَزَلَّهُمُ,پھسلا دیا تھا ان کو,made them slip
الشَّیْطٰنُ,شیطان نے,the Shaitaan
بِبَعْضِ,ساتھ بعض کے,for some
مَا,جو,(of) what
كَسَبُوْاۚ,انہوں نے کمائی کی,they (had) earned
وَلَقَدْ,اور البتہ تحقیق,And surely
عَفَا,معاف کردیا,forgave
اللّٰهُ,اللہ نے,Allah
عَنْهُمْؕ,ان کو,[on] them
اِنَّ,بیشک,indeed
اللّٰهَ,اللہ,Allah
غَفُوْرٌ,بخشنے والا,(is) Oft-Forgiving
حَلِیْمٌ,بردبار ہے,All-Forbearing
یٰۤاَیُّهَا,اے,O you
الَّذِیْنَ,وہ لوگو,who
اٰمَنُوْا,جو ایمان لائے ہو,believe[d]
لَا,نہ,(Do) not
تَكُوْنُوْا,تم ہوجاؤ,be
كَالَّذِیْنَ,ان لوگوں کی طرح,like those who
كَفَرُوْا,جنہوں نے کفر کیا,disbelieved
وَقَالُوْا,اور انہوں نے کہا,and they said
لِاِخْوَانِهِمْ,واسطے اپنے بھائیوں کے,about their brothers
اِذَا,جب,when
ضَرَبُوْا,وہ چلے پھرے,they traveled
فِی,میں,in
الْاَرْضِ,زمین (میں),the earth
اَوْ,یا,or
كَانُوْا,تھے وہ,they were
غُزًّی,لڑنے والے,fighting
لَّوْ,اگر,If
كَانُوْا,وہ ہوتے,they had been
عِنْدَنَا,ہمارے پاس,with us
مَا,نہ,not
مَاتُوْا,وہ مرتے,they (would have) died
وَمَا,اور نہ,and not
قُتِلُوْاۚ,وہ قتل کیے جاتے,they (would have) been killed
لِیَجْعَلَ,تاکہ کردے,So makes
اللّٰهُ,اللہ,Allah
ذٰلِكَ,اس کو,that
حَسْرَةً,حسرت کا سبب,a regret
فِیْ,میں,in
قُلُوْبِهِمْؕ,ان کے دلوں (میں),their hearts
وَاللّٰهُ,اور اللہ,And Allah
یُحْیٖ,زندہ کرتا ہے,gives life
وَیُمِیْتُؕ,اور موت دیتا ہے,and causes death
وَاللّٰهُ,اور اللہ,and Allah
بِمَا,ساتھ اس کے جو,of what
تَعْمَلُوْنَ,تم کرتے ہو,you do
بَصِیْرٌ,دیکھنے والا ہے,(is) All-Seer
وَلَىِٕنْ,اور البتہ اگر,And if
قُتِلْتُمْ,مارے گئے تم,you are killed
فِیْ,میں,in
سَبِیْلِ,راستے,(the) way
اللّٰهِ,اللہ کے,(of) Allah
اَوْ,یا,or
مُتُّمْ,مرگئے تم,die[d]
لَمَغْفِرَةٌ,البتہ بخشش ہے,certainly forgiveness
مِّنَ,سے,from
اللّٰهِ,اللہ کی طرف,Allah
وَرَحْمَةٌ,اور رحمت,and Mercy
خَیْرٌ,وہ بہتر ہے,(are) better
مِّمَّا,اس سے جو,than what
یَجْمَعُوْنَ,وہ جمع کر رہے ہیں,they accumulate
وَلَىِٕنْ,اور البتہ اگر,And if
مُّتُّمْ,مر بھی جاؤ تم,you die
اَوْ,یا,or
قُتِلْتُمْ,قتل کیے جاؤ تم,are killed
لَاۡاِلَی,البتہ  طرف,surely to
اللّٰهِ,اللہ کی,Allah
تُحْشَرُوْنَ,تم اکٹھے کیے جاؤ گے,you will be gathered
فَبِمَا,پس بوجہ اس کے جو۔ تو ساتھ کس,So because
رَحْمَةٍ,رحمت ہے۔ رحمت کے,(of) Mercy
مِّنَ,سے,from
اللّٰهِ,اللہ کی طرف (سے),Allah
لِنْتَ,تم نرم دل ہو۔ تم نرم دل ہوئے,you dealt gently
لَهُمْۚ,ان کے لیے,with them
وَلَوْ,اور اگر,And if
كُنْتَ,ہوتے تم,you had been
فَظًّا,تند خو,rude
غَلِیْظَ,سخت,(and) harsh
الْقَلْبِ,دل,(at) [the] heart
لَانْفَضُّوْا,البتہ منتشر ہوجاتے,surely they (would have) dispersed
مِنْ,سے,from
حَوْلِكَ۪,تیرے آس پاس,around you
فَاعْفُ,پس درگزر کیجیے,Then pardon
عَنْهُمْ,ان سے,[from] them
وَاسْتَغْفِرْ,اور بخشش مانگیے,and ask forgiveness
لَهُمْ,ان کے لیے,for them
وَشَاوِرْهُمْ,اور مشورہ کرو ان سے,and consult them
فِی,میں,in
الْاَمْرِۚ,معاملات (میں)۔ معاملہ میں,the matter
فَاِذَا,پھر جب,Then when
عَزَمْتَ,پختہ ارادہ کریں آپ,you have decided
فَتَوَكَّلْ,تو بھروسہ کریں,then put trust
عَلَی,پر,on
اللّٰهِؕ,اللہ,Allah
اِنَّ,بیشک,Indeed
اللّٰهَ,اللہ تعالیٰ,Allah
یُحِبُّ,محبت رکھتا ہے,loves
الْمُتَوَكِّلِیْنَ,بھروسہ کرنے والوں سے,the ones who put trust (in Him)
اِنْ,اگر,If
یَّنْصُرْكُمُ,مدد کرے تمہاری,helps you
اللّٰهُ,اللہ,Allah
فَلَا,تو نہیں,then not
غَالِبَ,کوئی غالب آنے والا,(can) overcome
لَكُمْۚ,تم پر,[for] you
وَاِنْ,اور اگر,and if
یَّخْذُلْكُمْ,وہ چھوڑ دے تم کو,He forsakes you
فَمَنْ,تو کون,then who
ذَا,وہ,(is)
الَّذِیْ,جو,the one who
یَنْصُرُكُمْ,مدد کرے تمہاری,can help you
مِّنْ,سے,from
بَعْدِهٖؕ,اس کے بعد,after Him
وَعَلَی,اور پر,And on
اللّٰهِ,اللہ ہی,Allah
فَلْیَتَوَكَّلِ,پس چاہیے کہ توکل کیا کریں,let put (their) trust
الْمُؤْمِنُوْنَ,مومن۔ ایمان والے,the believers
وَمَا,اور نہیں,And not
كَانَ,ہے (مناسب),is
لِنَبِیٍّ,کسی نبی کے لیے,for a Prophet
اَنْ,کہ,that
یَّغُلَّؕ,وہ خیانت کرے,he defrauds
وَمَنْ,اور جو کوئی,And whoever
یَّغْلُلْ,خیانت کرے گا,defrauds
یَاْتِ,وہ لے آئے گا,will bring
بِمَا,ساتھ اس کے جو,what
غَلَّ,اس نے خیانت کی,he had defrauded
یَوْمَ,دن,(on the) Day
الْقِیٰمَةِۚ,قیامت کے,(of) Resurrection
ثُمَّ,پھر,Then
تُوَفّٰی,پورا پورا دیا جائے گا,is repaid in full
كُلُّ,ہر,every
نَفْسٍ,شخص کو,soul
مَّا,جو,what
كَسَبَتْ,اس نے کمائی کی,it earned
وَهُمْ,اور وہ,and they
لَا,نہ,(will) not
یُظْلَمُوْنَ,ظلم کیے جائیں گے,be wronged
اَفَمَنِ,کیا بھلا جو,So is (the one) who
اتَّبَعَ,پیروی کرے,pursues
رِضْوَانَ,رضا کی,(the) pleasure
اللّٰهِ,اللہ کی,(of) Allah
كَمَنْ,اس شخص کی طرح ہوسکتا ہے جو,like (the one) who
بَآءَ,پلٹے,draws
بِسَخَطٍ,ساتھ ناراضگی کے,on (himself) wrath
مِّنَ,سے,of
اللّٰهِ,اللہ کی طرف,Allah
وَمَاْوٰىهُ,اور ٹھکانہ اس کا,and his abode
جَهَنَّمُؕ,جہنم ہے,(is) hell
وَبِئْسَ,اور کتنی بری ہے,and wretched
الْمَصِیْرُ,لوٹنے کی جگہ,(is) the destination
هُمْ,وہ,They
دَرَجٰتٌ,درجوں میں ہیں,(are in varying) degrees
عِنْدَ,نزدیک,near
اللّٰهِؕ,اللہ کے,Allah
وَاللّٰهُ,اور اللہ,and Allah
بَصِیْرٌ,دیکھنے والا ہے,(is) All-Seer
بِمَا,اس کو جو,of what
یَعْمَلُوْنَ,وہ عمل کرتے ہیں,they do
لَقَدْ,البتہ تحقیق,Certainly
مَنَّ,احسان کیا,bestowed a Favor
اللّٰهُ,اللہ نے,Allah
عَلَی,پر,upon
الْمُؤْمِنِیْنَ,مومنوں,the believers
اِذْ,جب,as
بَعَثَ,بھیجا,He raised
فِیْهِمْ,ان میں,among them
رَسُوْلًا,ایک رسول,a Messenger
مِّنْ,سے,from
اَنْفُسِهِمْ,ان کے نفسوں میں,themselves
یَتْلُوْا,وہ پڑھتا ہے۔ تلاوت کرتا ہے,reciting
عَلَیْهِمْ,ان پر,to them
اٰیٰتِهٖ,اس کی آیات,His Verses
وَیُزَكِّیْهِمْ,اور وہ پاک کرتا ہے ان کو,and purifying them
وَیُعَلِّمُهُمُ,اور وہ سکھاتا ہے ان کو,and teaching them
الْكِتٰبَ,کتاب,the Book
وَالْحِكْمَةَۚ,اور حکمت,and the wisdom
وَاِنْ,اور اگرچہ,although
كَانُوْا,تھے وہ,they were
مِنْ,سے,from
قَبْلُ,اس سے پہلے,before (that)
لَفِیْ,البتہ میں,certainly in
ضَلٰلٍ,گمراہی (میں),(the) error
مُّبِیْنٍ,کھلی,clear
اَوَلَمَّاۤ,کیا بھلا جب,Or when
اَصَابَتْكُمْ,پہنچتی تم کو,struck you
مُّصِیْبَةٌ,کوئی مصیبت,disaster
قَدْ,تحقیق,surely
اَصَبْتُمْ,پہنچائی تم نے,you (had) struck (them)
مِّثْلَیْهَا,اس سے دوگنی,twice of it
قُلْتُمْ,کہا تم نے,you said
اَنّٰی,کہاں سے آئی ہے,From where
هٰذَاؕ,یہ,(is) this
قُلْ,کہہ دیجیے,Say
هُوَ,وہ,It
مِنْ,سے,(is)
عِنْدِ,کی طرف,from
اَنْفُسِكُمْؕ,تمہارے نفسوں کی (طرف سے ہے),yourselves
اِنَّ,بیشک,Indeed
اللّٰهَ,اللہ,Allah
عَلٰی,اوپر,(is) on
كُلِّ,ہر,every
شَیْءٍ,چیز کے,thing
قَدِیْرٌ,قدرت رکھنے والا ہے,All-Powerful
وَمَاۤ,اور جو کچھ,And what
اَصَابَكُمْ,پہنچا تم کو,struck you
یَوْمَ,جس دن,(on the) day
الْتَقَی,ملی تھیں,(when) met
الْجَمْعٰنِ,دو جماعتیں,the two hosts
فَبِاِذْنِ,پس اذن سے,(was) by (the) permission
اللّٰهِ,اللہ کے,(of) Allah
وَلِیَعْلَمَ,اور تاکہ وہ جان لے,and that He (might) make evident
الْمُؤْمِنِیْنَ,مومنوں کو,the believers
وَلِیَعْلَمَ,اور تاکہ وہ جان لے,And that He (might) make evident
الَّذِیْنَ,ان لوگوں کو,those who
نَافَقُوْاۖۚ,جنہوں نے منافقت کی,(are) hypocrites
وَقِیْلَ,اور جبکہ کہا گیا,And it was said
لَهُمْ,ان کو,to them
تَعَالَوْا,آؤ,Come
قَاتِلُوْا,جنگ کرو,fight
فِیْ,میں,in
سَبِیْلِ,راستے,(the) way
اللّٰهِ,اللہ کے,(of) Allah
اَوِ,یا,or
ادْفَعُوْاؕ,مدافعت کرو,defend
قَالُوْا,انہوں نے کہا,They said
لَوْ,اگر,If
نَعْلَمُ,ہم جانتے ہوتے,we knew
قِتَالًا,جنگ کرنا,fighting
لَّاتَّبَعْنٰكُمْؕ,البتہ ہم پیروی کرتے تمہاری,certainly we (would have) followed you
هُمْ,وہ,They
لِلْكُفْرِ,کفر کے لیے,to disbelief
یَوْمَىِٕذٍ,اس دن,that day
اَقْرَبُ,زیادہ قریب تھے,(were) nearer
مِنْهُمْ,ان سے,than [them]
لِلْاِیْمَانِۚ,ایمان کے لیے۔ بہ نسبت ایمان کے,to the faith
یَقُوْلُوْنَ,وہ کہہ رہے تھے,saying
بِاَفْوَاهِهِمْ,اپنے مونہوں کے ساتھ,with their mouths
مَّا,جو,what
لَیْسَ,نہیں تھا,was not
فِیْ,میں,in
قُلُوْبِهِمْؕ,ان کے دلوں,their hearts
وَاللّٰهُ,اور اللہ,And Allah
اَعْلَمُ,زیادہ جانتا ہے,(is) Most Knowing
بِمَا,ساتھ اس کے,of what
یَكْتُمُوْنَ,جو وہ چھپاتے ہیں,they conceal
اَلَّذِیْنَ,وہ لوگ,Those who
قَالُوْا,جنہوں نے کہا,said
لِاِخْوَانِهِمْ,واسطے اپنے بھائیوں کے,about their brothers
وَقَعَدُوْا,اور وہ خود بیٹھ گئے,while they sat
لَوْ,اگر,If
اَطَاعُوْنَا,وہ اطاعت کرتے ہماری,they (had) obeyed us
مَا,نہ,not
قُتِلُوْاؕ,وہ مارے جاتے۔ نہ وہ قتل کیے جاتے,they would have been killed
قُلْ,کہہ دیجیے,Say
فَادْرَءُوْا,پس ہٹا لو,Then avert
عَنْ,سے,from
اَنْفُسِكُمُ,اپنے نفسوں سے,yourselves
الْمَوْتَ,موت کو,[the] death
اِنْ,اگر,if
كُنْتُمْ,ہو تم,you are
صٰدِقِیْنَ,سچے,truthful
وَلَا,اور نہ,And (do) not
تَحْسَبَنَّ,تم خیال کرو,think
الَّذِیْنَ,ان لوگوں کو,(of) those who
قُتِلُوْا,جو مارے گئے,are killed
فِیْ,میں,in
سَبِیْلِ,راستے,(the) way
اللّٰهِ,اللہ کے,(of) Allah
اَمْوَاتًاؕ,مردہ,(as) dead
بَلْ,بلکہ,Nay
اَحْیَآءٌ,زندہ ہیں,They are alive
عِنْدَ,ہاں,near
رَبِّهِمْ,اپنے رب کے,their Lord
یُرْزَقُوْنَ,وہ رزق دیے جاتے ہیں,they are given provision
فَرِحِیْنَ,خوش ہیں,Rejoicing
بِمَاۤ,ساتھ اس کے جو,in what
اٰتٰىهُمُ,عطا کیا ان کو,bestowed them
اللّٰهُ,اللہ نے,Allah
مِنْ,سے,of
فَضْلِهٖ,اپنے فضل,His Bounty
وَیَسْتَبْشِرُوْنَ,اور وہ خوشخبری پاتے ہیں,and they receive good tidings
بِالَّذِیْنَ,ان لوگوں کے بارے میں,about those who
لَمْ,نہیں,(have) not
یَلْحَقُوْا,وہ ملے,yet joined
بِهِمْ,ان کو,[with] them
مِّنْ,سے,[from]
خَلْفِهِمْ,ان کے  پیچھے سے,(but are) left behind
اَلَّا,کہ نہیں,that (there will be) no
خَوْفٌ,کوئی خوف,fear
عَلَیْهِمْ,ان پر,on them
وَلَا,اور نہ,and not
هُمْ,وہ,they
یَحْزَنُوْنَ,غمگین ہوں گے,will grieve
یَسْتَبْشِرُوْنَ,وہ خوشیاں مناتے ہیں,They receive good tidings
بِنِعْمَةٍ,نعمت پر,of Favor
مِّنَ,سے,from
اللّٰهِ,اللہ کی طرف,Allah
وَفَضْلٍ,اور فضل پر,and Bounty
وَّاَنَّ,اور بیشک,and that
اللّٰهَ,اللہ تعالیٰ,Allah
لَا,نہیں,(does) not
یُضِیْعُ,ضائع کرتا,let go waste
اَجْرَ,اجر,(the) reward
الْمُؤْمِنِیْنَ,ایمان والوں کا,(of) the believers
اَلَّذِیْنَ,وہ لوگ,Those who
اسْتَجَابُوْا,جنہوں نے لبیک کہا,responded
لِلّٰهِ,اللہ کے لیے,to Allah
وَالرَّسُوْلِ,اور رسول کے لیے,and the Messenger
مِنْ,نا معلوم,from
بَعْدِ,اس کے بعد,after
مَاۤ,جو,what
اَصَابَهُمُ,پہنچا ان کو,befell them
الْقَرْحُۛؕ,زخم,the injury
لِلَّذِیْنَ,ان لوگوں کے لیے,for those who
اَحْسَنُوْا,جنہوں نے احسان کیا۔ جنہوں نے نیکی کی,did good
مِنْهُمْ,ان میں سے,among them
وَاتَّقَوْا,اور تقوی اختیار کیا,and feared Allah
اَجْرٌ,اجر ہے,(is) a reward
عَظِیْمٌ,بہت بڑا,great
اَلَّذِیْنَ,وہ لوگ,Those who
قَالَ,کہا,said
لَهُمُ,ان کو,to them
النَّاسُ,لوگوں نے,[the people]
اِنَّ,بیشک,Indeed
النَّاسَ,لوگ۔ گروہ,the people
قَدْ,تحقیق,(have) certainly
جَمَعُوْا,جمع ہوگئے ہیں,gathered
لَكُمْ,تمہارے لیے,against you
فَاخْشَوْهُمْ,پس ڈرو ان سے,so fear them
فَزَادَهُمْ,اس (بات) نے بڑھا دیا ان کو,But it increased them
اِیْمَانًاۖۗ,ایمان میں,(in) faith
وَّقَالُوْا,اور کہا انہوں نے,and they said
حَسْبُنَا,کافی ہے ہم کو,Sufficient for us
اللّٰهُ,اللہ,(is) Allah
وَنِعْمَ,اور کتنا اچھا,and (He is the) best
الْوَكِیْلُ,کارساز ہے,[the] Disposer of affairs
فَانْقَلَبُوْا,اور وہ پلٹ آئے,So they returned
